Kommun,Fastighetsbeteckning,Adress,Byggår/Värdeår,Fastighetskategori,Tomträtt,Kontor,Handel,Industri/Lager,Utbilning/Vård,Hotell,Bostad,Övrigt,Totalt,"Taxeringsvärde, Mkr"
Halmstad,Eketånga 24:20,Olofsdalsvägen 33,1973,Handel,,,5836,,,,,,5836,30
Halmstad,Eketånga 24:47,Olofsdalsvägen 37,2012,Handel,,,3220,,,,,,3220,29
Halmstad,Stenalyckan 2,Orkangatan 1,1992,Handel,,,3750,,,,,,3750,17
Helsingborg,Amerika Södra 28,Bryggaregatan 7,1950,Bostad,,561,501,20,,,5094,1363,7539,111
Helsingborg,Huggjärnet 10,Garnisonsgatan 5,1971,Handel,,,,,,,,11144,11144,30
Helsingborg,Skalbaggen 15,Gustav Adolfs Gata 13,1939,Bostad,,,,,,,762,19,781,7
Helsingborg,Skalbaggen 16,Gasverksgatan 32 A,1935,Bostad,,,195,,,,2155,65,2415,22
Helsingborg,Skalbaggen 17,Gasverksgatan 34,1935,Bostad,,,83,,,,712,32,827,7
Helsingborg,Skalbaggen 18,Gasverksgatan 36,1933,Bostad,,,34,,,,818,66,918,7
Helsingborg,Skalbaggen 19,Gasverksgatan 38,1935,Bostad,,,,,,,708,57,765,6
Helsingborg,Skalbaggen 20,Gasverksgatan 40,1935,Bostad,,,83,,,,632,109,824,6
Helsingborg,Skalbaggen 21,Gasverksgatan 42,1935,Bostad,,,,,,,711,103,814,7
Helsingborg,Skalbaggen 22,Gasverksgatan 44 A,1930,Bostad,,,143,,,,1905,,2048,17
Helsingborg,Skalbaggen 23,Gustav Adolfs Gata 17,1967,Bostad,,,,,,,3685,60,3745,36
Helsingborg,Skalbaggen 24,Gustav Adolfs Gata 15,1983,Bostad,,,,,,,2134,,2134,20
Helsingborg,Skalbaggen 7,Drakegatan 5,1929,Bostad,,,,,,,688,111,799,7
Helsingborg,Verdandi 1,Bifrostgatan 71,2006,Bostad,,,62,,,,3763,,3825,53
Helsingborg,Württemberg 20,Furutorpsgatan 29,1937,Handel,,1392,6168,15,,,4786,1314,13675,146
Helsingborg,Zirkonen 3,Andesitgatan 18,2016,Handel,,,5500,,,,,,5500,42
Kristianstad,Hammar 9:184,Blekingevägen 104,1989,Handel,,,,,,,,5135,5135,12
Kristianstad,Hovrätten 41,Västra Storgatan 13,1985,Hotell,,,380,,,7075,,,7455,40
Kristianstad,Topplocket 1,Sävevägen 1,1999,Handel,,,6509,,,,,,6509,37
Kristianstad,Traversen 1,Hedentorpsvägen 14 A,1990,Handel,,,,2172,,,,,2172,7
Ljungby,Linné 9,Fabriksgatan 5,1970,Handel,,,1975,,,,,,1975,4
Lund,Dioriten 1,"Brunnsgård, Råbyvägen 1",2001,Kontor,,3080,,,,,,,3080,34
Lund,Jöns Petter Borg 14,Hedvig Möllers gata 2,2013,Hotell,,,,,,8462,,,8462,73
Lund,Kalkstenen 1,Kalkstensvägen 32,2000,Handel,,,2180,,,,,,2180,12
Lund,Kopparkisen 13,Porfyrvägen 11,1989,Handel,,,4732,,,,,72,4804,22
Lund,Lagfarten 1 & 2,Magistratsvägen 10,1968,Kontor,,3472,1005,289,,,,,4766,35
Lund,Porfyren 2,Glimmervägen 3,1991,Hotell,,,,,,15711,,,15711,105
Lund,Rügen 1,Stralsundsvägen 1–25,2006,Bostad,,,,,,,3085,,3085,51
Lund,Rügen 2,Stralsundsvägen 29,2006,Bostad,,,,,,,5264,526,5790,95
Malmö,Automobilen 1,Jägersrovägen 100,1985,Handel,Ja,,,10718,,,,827,11545,42
Malmö,Draglädret 1,Jägersrovägen 179,1994,Handel,,,2679,,,,,,2679,19
Malmö,Grytan 4,Agneslundsvägen 24 A-B,2010,Övrigt,Ja,,,,2400,,,,2400,
Malmö,Grytan 9,Agneslundsvägen 22,2010,Övrigt,,98,164,185,11923,,1366,262,13998,
Malmö,Hans Michelsen 10,Adelgatan 5,1963,Hotell,,1955,558,,,1645,,10,4168,40
Malmö,Hästkälken 3,Jägershillgatan 4,1979,Handel,Ja,,2290,,,,,,2290,11
Malmö,Ledebur 15,Amiralsgatan 20,1990,Kontor,,6113,,,,,,1300,7413,87
Malmö,Lejonet 1,Isak Slaktaregatan 2,1991,Hotell,,,,,,3849,,,3849,72
Malmö,Lejonet 2,Lilla Torg 1,1929,Kontor,,4064,1256,72,,,314,,5706,130
Malmö,Rosen 9,Engelbrektsgatan 2,1960,Hotell,,,1430,9,,9777,,,11216,161
Malmö,Spinneriet 8,Baltzarsgatan 20,1957,Kontor,,12070,3192,2283,,5540,,1454,24539,539
Malmö,Spännbucklan 12 & 13,Agnesfridsvägen 180,1983,Handel,Ja,,5320,,,,,,5320,26
Malmö,Von Conow 54,Baltzarsgatan 31,1964,Kontor,,9944,2409,1950,,,2584,4135,21022,464
Trelleborg,Lavetten 41,Hedvägen 167–173,1987,Handel,,,990,,,,,,990,5
Trelleborg,Phylatterion 6,Bryggaregatan 25–39,1991,Handel,,,3520,1563,,,,,5083,17
Trelleborg,Snickeriet 16–17 och Verkstaden 11,Maskingatan 1,1975,Handel,,,1600,,,,,220,1820,6
Värnamo,Sjötungan 1,Margretelundsvägen 2,1973,Handel,,,4924,,,,,425,5349,15
Växjö,Elden Södra 17,Biblioteksgatan 7,1985,Hotell,,,65,,,6888,,57,7010,40
Växjö,Kocken 3,Hejaregatan 19,1969,Hotell,,,,,,3982,,,3982,19
Åstorp,Asken 14,Esplanaden 15,1952,Bostad,,167,239,53,,,771,,1230,8
Åstorp,Blåklockan 9,Fågelsångsgatan 32 A,1966,Bostad,,,,,,,808,,808,6
Åstorp,Boken 4,Esplanaden 19 A,1945,Bostad,,218,1163,222,,,7642,,9245,70
Åstorp,Ekorren 27,Skolgatan 7,1929,Bostad,,,162,70,,,724,,956,7
Åstorp,Hyllinge 5:122,Postgatan 12 A,1963,Bostad,,,,164,120,,7431,134,7849,34
Åstorp,Hästhoven 12,Fabriksgatan 19 A,1960,Bostad,,,704,72,,,2633,,3409,23
Åstorp,Kastanjen 16,Esplanaden 7,1972,Bostad,,1919,833,,,,3543,161,6456,42
Åstorp,Linden 11,Nyvångsgatan 1 A,1961,Bostad,,,,,,,340,,340,3
Åstorp,Lotusblomman 15,Nyvångsgatan 31,1961,Bostad,,,,,,,340,,340,3
Åstorp,Lungörten 1,Nyvångsgatan 2 A,1961,Bostad,,,,,,,792,,792,4
Åstorp,Lärksoppen 10,Ekebrogatan 100,1972,Bostad,,,,28,,,8050,165,8243,33
Åstorp,Lärkträdet 10,Ekebrogatan 1,1970,Bostad,,,,42,,,5799,142,5983,24
Åstorp,Moroten 10,Torggatan 35 A,1954,Bostad,,,,,,,776,,776,5
Åstorp,Resedan 1,Norra Storgatan 10 A,1964,Bostad,,,,20,,,1073,,1093,7
Åstorp,Svärdsliljan 7,Östergatan 16 A,1958,Bostad,,245,457,16,,,6457,,7175,45
Åstorp,Tranan 1,Fjällvägen 10 A,1991,Bostad,,,,,,,3820,,3820,33
Ängelholm,Skräddaren 5,Verkstadsgatan 5,1973,Handel,,,,1172,,,,,1172,4
Ängelholm,Taktäckaren 6,Midgårdsgatan 11,2015,Handel,,583,875,4780,,,,429,6667,36
Tyskland,Flera fastigheter,,,Hotell,,,,,,40381,,,40381,
Storbritannien,London,8 Fenchurch Place,,Kontor,,9161,,,,,,,9161,
Storbritannien,London,11 Ironmonger Lane,,Kontor,,1800,,,,,,,1800,
Gotland,Soldaten 1,Volontärgatan,2005,Bostad,,,,29,,,3050,50,3129,35
Linköping,Nöjet 1,Låsbomsgatan 27,2010,Handel,,,1380,,,,,,1380,9
Linköping,Paletten 2,Ottargatan 1,1972,Handel,,,,5202,,,,440,5642,38
Linköping,Papegojan 1,Vigfastgatan 5,1967,Handel,,,7775,,,,,15,7790,36
Norrköping,Gärdet 1,Rågången 71,1958,Bostad,,,491,7,,,4609,,5107,68
Norrköping,Lammet 2,Kungstorget 2,1939,Bostad,,173,1950,,,,2405,60,4588,45
Norrköping,Lokatten 12,Trädgårdsgatan 8 B,1992,Bostad,,1586,380,15,,,5502,401,7884,108
Norrköping,Planket 20,Bråddgatan 54,1983,Bostad,,,,,,,1139,,1139,17
Norrköping,Planket 23,Plankgatan 46,1940,Bostad,,25,60,,,,940,600,1625,16
Norrköping,Prinsen 18,Hospitalsgatan 42,1967,Bostad,,,30,138,,,9603,11,9782,153
Norrköping,Sprutan 8,Gamla Rådstugugatan 52,1940,Bostad,,,370,12,,,1318,145,1845,25
Norrköping,Stenhuggaren 25,Sandgatan 28,1960,Bostad,,,,,,,2918,,2918,44
Norrköping,Storgatan 10,Drottninggatan 10,1929,Bostad,,484,,,,,1213,755,2452,25
Norrköping,Storgatan 9,Nya Rådstugegatan 2,1985,Bostad,,252,355,20,,,6066,248,6941,110
Norrköping,Stävan 2,Rösgången 32,1959,Bostad,Ja,,,,,,3639,,3639,49
Norrköping,Tullhuset 1,Gamla Rådstugugatan 11,1929,Bostad,,,273,,,,1344,,1617,24
Nyköping,Brandholmen 1:72,Idrottsvägen 12 E,2014,Övrigt,,,,,,,,16324,16324,
Västerås,Badelundaåsen 3,Stockholmsvägen 144,1987,Handel,,,2796,,,,,,2796,18
Västerås,Fältmössan 1,Rönnbergagatan 1,1963,Bostad,,,150,106,,,14331,,14587,261
Västerås,Klockarkärleken 2,Rönnbergagatan 4,1962,Bostad,,,,260,,,5778,,6038,44
Västerås,Rödklinten 2,Bangatan 15,1957,Bostad,,,133,120,,,7003,30,7286,51
Västerås,Sågen 1,Pilgatan 33,1980,Hotell,,,,,,8317,,,8317,29
Västerås,Vallmon 6,Bangatan 1 A,1968,Bostad,,,,84,,,13914,,13998,102
Västerås,Vapenrocken 1,Regementsgatan 62,1963,Bostad,,441,,114,,,19182,2,19739,
Finland,Hyvinkää,Veikkarinkatu 7,1981,Handel,,,2645,,,,,,2645,
Finland,Hämeenlinna,Tampereentie 169,1970/1978,Handel,,,5840,,,,,,5840,
Finland,Hämeenlinna,Linnaniemenkatu 1,2019,Bostad,,,,,,,469,,469,
Finland,Joensuu,Voimatie 16,1999,Handel,,,8282,,,,,,8282,
Finland,Keminmaa,Joulantie 1–3,2001/2002,Handel,,,12337,,,,,,12337,
Finland,Kotka,Ristikalliontie 41,2014,Handel,,,3100,,,,,,3100,
Finland,Koupio,Leväsentie 2 B,2006,Handel,,,19808,,,,,,19808,
Finland,Kouvola,Taitajantie 4,1967/1986,Handel,,,3800,,,,,,3800,
Finland,Kuopio,Leväsentie 33,2010,Handel,,,7770,,,,,,7770,
Finland,Kuusamo,Loumantie 1–3,1990,Handel,,,12617,,,,,,12617,
Finland,Kuusamo,Ouluntaival 1,1978,Handel,,,3718,,,,,,3718,
Finland,Lahti,Ajokatu 261,2008,Handel,,,7947,,,,,,7947,
Finland,Lappeenranta,Myllymäenkatu 6,2006,Handel,,,4400,,,,,,4400,
Finland,Mäntsälä,Mäntsäläntie 1,1989,Handel,,,3384,,,,,,3384,
Finland,Nokia,Välikatu 13,2020,Bostad,,,,,,,750,,750,
Finland,Närpes,Yhdistyksentie 3,2017,Handel,,,2513,,,,,,2513,
Finland,Oulu,Mallastie 30–32 A & B,2020,Bostad,,,,,,,3264,,3264,
Finland,Oulu,Tietolinja 9,2018,Bostad,,,,,,,2003,,2003,
Finland,Oulu,Mallastie 30–32 C,2020,Bostad,,,,,,,1706,,1706,
Finland,Oulu,Talatie 2,2019,Bostad,,,,,,,734,,734,
Finland,Oulu,Ukkoherrantie 2 C,2018,Bostad,,,,,,,570,,570,
Finland,Oulu,Ukkoherrantie 2 D,2018,Bostad,,,,,,,406,,406,
Finland,Oulu,Satamatie 2–4,2019,Bostad,,,,,,,364,,364,
Finland,Oulu,Ukkoherrantie 2 B,2017,Bostad,,,,,,,268,,268,
Finland,Oulu,Limingantie 4,2020,Bostad,,,,,,,81,,81,
Finland,Pirkkala,Kauppiaankatu 17 A & 21 C,2020,Bostad,,,,,,,2294,,2294,
Finland,Raisio,Kauppakaju 2,1968,Handel,,,5504,,,,,,5504,
Finland,Riihimäki,Käräjäkatu 8,2019,Bostad,,,,,,,198,,198,
Finland,Tampere,Hataanpään Valtatie 42,1997,Handel,,,12412,,,,,,12412,
Finland,Tampere,Puistokuja 32,2005,Handel,,,5865,,,,,,5865,
Finland,Tampere,Tesoman Valtatie 31,2019,Bostad,,,,,,,3078,,3078,
Finland,Tampere,Tesoman Valtatie 29,2020,Bostad,,,,,,,3078,,3078,
Finland,Tampere,Fleminginkatu 5,2019,Bostad,,,,,,,1969,,1969,
Finland,Tampere,Ruopionkatu  6A-B,2011,Bostad,,,,,,,1555,,1555,
Finland,Tampere,Takamaanrinne 9 B,2019,Bostad,,,,,,,1381,,1381,
Finland,Tampere,Takamaanrinne 9 C,2019,Bostad,,,,,,,1381,,1381,
Finland,Tampere,Ruopionkatu 6 C-D,2011,Bostad,,,,,,,1203,,1203,
Finland,Tampere,Isokuusenkatu 47,2020,Bostad,,,,,,,1134,,1134,
Finland,Tampere,Männistönkatu 2,2019,Bostad,,,,,,,769,,769,
Finland,Tampere,Tervaskatu 4,2020,Bostad,,,,,,,66,,66,
Finland,Tampere,Takamaanrinne 14,2020,Bostad,,,,,,,44,,44,
Finland,Tampere,Kohmankaari 9,2018,Bostad,,,,,,,44,,44,
Finland,Tampere,Takamaanrinne 16,2020,Bostad,,,,,,,44,,44,
Finland,Turku,Suksikuja 2,2019,Bostad,,,,,,,2594,,2594,
Finland,Turku,Fatabuurinkatu 2 B,2020,Bostad,,,,,,,2287,,2287,
Finland,Turku,Fatabuurinkatu 2 A,2020,Bostad,,,,,,,2235,,2235,
Finland,Turku,Kalastajankatu 3,2017,Bostad,,,,,,,547,,547,
Finland,Turku,Fleminginkatu 7,2020,Bostad,,,,,,,371,,371,
Finland,Vaasa,Hietalahdenkatu 13 B,1948,Bostad,,,,,,,7224,,7224,
Finland,Vanda,Härkähaantie 16,,Övrigt,,,,,,,,,,
Finland,"SATO Oyj, Flera fastigheter",,,Bostad,,,,,,,385014,,385014,
Gävle,Hemsta 14:2,Skolgången 1,1974,Handel,,,4100,,,,,,4100,13
Gävle,Hemsta 14:3,Skolgången 3,1983,Handel,,,1448,,,,,,1448,5
Gävle,Holmsund 11:1 mfl,Korsnäsvägen 104 A,1929,Bostad,,,,,,,1456,50,1506,2
Gävle,Holmsund 7:6,"Holmsundsvägen 7, 17–29, (Ojämna Nr)",1929,Bostad,,,,,,,3002,8,3010,16
Gävle,"Kastet 8:1, 12:1 mfl",Forskarvägen 27 mfl,1929,Bostad,,777,57,160,,,13166,2121,16281,76
Gävle,Lillhagen 5:3,Torkarvägen 10,1946,Bostad,,,,14,,,3029,26,3069,16
Gävle,Norr 18:6,Hattmakargatan 11,1985,Bostad,,42,408,,,,2641,385,3476,40
Gävle,Norr 27:2,Nygatan 40,1929,Bostad,,127,480,,,,2185,67,2859,31
Gävle,Söder 58:7,Kaserngatan 65,1969,Bostad,,,933,347,,,2281,6,3567,35
Gävle,Sörby 10:9,Falkvägen 5 A,1994,Bostad,,,,,,,512,,512,6
Gävle,Valbo-Backa 6:12,Johanneslötsvägen 6,1981,Hotell,,,,,,7382,,,7382,33
Karlstad,Anden 9,Långgatan 65,1983,Bostad,,,,,,,1472,92,1564,26
Karlstad,Braxen 34,Nygatan 1,1944,Bostad,,,322,27,,,1198,521,2067,23
Karlstad,Druvan 1,Drottninggatan 22,1929,Bostad,,,459,,,601,1443,80,2583,43
Karlstad,Ekorren 9,Sandbäcksg 5/S Klaragatan 1,1929,Bostad,,715,46,,,,1811,,2572,30
Karlstad,Furan 5,Gillbergsgatan 3,1951,Bostad,,,119,,,,1710,,1829,28
Karlstad,Furan 7,Jössegatan 3,1968,Bostad,,,,,,,925,97,1022,16
Karlstad,Granatkastaren 4,Artillerigatan 1,1945,Bostad,,,,,,,748,,748,9
Karlstad,Gruvan 12,Västra Kanalgatan 3,1991,Bostad,,,126,,,,2525,,2651,47
Karlstad,Gruvan 2,Östra Kyrkogatan 4,1929,Bostad,,,,,,,1064,102,1166,18
Karlstad,Grävlingen 3,Herrhagsgatan 43,1929,Bostad,,,138,,,,1018,32,1188,18
Karlstad,Höken 1,Hamngatan 16,1929,Hotell,,,,,,5890,,,5890,65
Karlstad,Pilbågen 1,Sandelsgatan 2 A,1942,Bostad,,,,,,,2184,,2184,24
Karlstad,Registratorn 1,Norra Allén 26 A,1949,Bostad,,,,,,,502,56,558,7
Karlstad,Registratorn 8,Norra Allén 30 A,1948,Bostad,,,,12,,,456,61,529,6
Karlstad,Registratorn 9,Norra Allén 28 A,1946,Bostad,,100,,,,,466,29,595,7
Karlstad,Spiran 1–6,Lignellsgatan 1,1939,Bostad,,,95,,,,4456,145,4696,61
Karlstad,Trätälja 11,Drottningg 37/Pihlgrensgatan 4,1959,Bostad,,,259,,,,4567,35,4861,80
Karlstad,Tusenskönan 1,Älvdalsgatan 8,1950,Bostad,Ja,,69,,,,1288,,1357,21
Karlstad,Väduren 3,Rudsvägen 1,1942,Bostad,,,,,,,1344,54,1398,18
Luleå,Skorpionen 9,Hummergatan 8,1978,Handel,,,1800,,,,,,1800,8
Sundsvall,Aeolus 1,Nybrogatan 19,1944,Bostad,,,501,32,,,957,,1490,13
Sundsvall,Bredsand 1:3 mfl,Appelbergsvägen 1 A,1950,Bostad,,,,158,,,7127,119,7404,29
Sundsvall,Bredsand 1:4 mfl,"Appelbergsv. 14, 16, 18",1950,Bostad,,,,,,,4479,3,4482,18
Sundsvall,Dingersjö 28:27 mfl,Appelbergsvägen 26,1989,Bostad,,,,37,,,9464,56,9557,40
Sundsvall,Dingersjö 3:131 mfl,Bergsvägen 3,1964,Bostad,,16,,287,,,21208,2783,24294,80
Sundsvall,Fliten 10,Skolhusallén 7,1990,Kontor,,3059,,5,,,,36,3100,30
Sundsvall,Fliten 11,Rådhusgatan 39 A,1992,Bostad,,272,,66,,,3371,,3709,44
Sundsvall,Kvissle 2:53 & 2:43,Affärsgatan 26 A-D,1962,Bostad,,,,,,,1468,,1468,5
Sundsvall,Kvissle 22:2 & 39:1,Affärsgatan 22,1968,Bostad,,87,137,75,,,6416,45,6760,19
Sundsvall,Lagmannen 10,Esplanaden 18,1962,Bostad,,757,240,,,,3985,957,5939,49
Sundsvall,"Nolby 1:48, 40:1, 1:108",Affärsgatan 20,1983,Bostad,,998,,62,,,4097,725,5882,20
Sundsvall,Nolby 3:268,Brovägen 9,1988,Bostad,,,,,,,997,,997,4
Sundsvall,Nolby 40:2,Affärsgatan 18,1964,Bostad,,,1071,6,,,2243,130,3450,10
Sundsvall,Nolby 41:3 & 37:1,Affärsgatan 14,1974,Bostad,,,1006,5,,,5328,43,6381,21
Östersund,Traktorn 5,Fagerbacken 65,1994,Handel,,,3216,,,,,,3216,20
Norge,Bærum 3024–81/16,Dønskiveien 6 A-E,1970,Bostad,,,,,,,2614,,2614,
Norge,Elverum 13/1059/0/1,Hamarvegen 112,2010,Övrigt,,,,,16400,,,,16400,
Norge,Oslo 230/397,Lakkegata 3,1983,Bostad,,,,,,,8551,,8551,
Norge,Trondheim 5001/416/105,Hans Nissens gate 3 och Skolegata 5,2016,Bostad,,,,,,,3577,,3577,
